epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2878.58,0.75923,0.7833,1.1368,0.80039,0.50135,0.58937,0.4153,1.14542,1.20752,1.44633,0.000371313,0.000371313,0.000371313
43,2936.82,0.75165,0.76867,1.13689,0.75364,0.53412,0.57269,0.41263,1.14761,1.19904,1.43873,0.000365125,0.000365125,0.000365125
44,2995.92,0.7335,0.74651,1.11995,0.77721,0.49289,0.57976,0.41547,1.14629,1.25214,1.47049,0.000358938,0.000358938,0.000358938
45,3057.86,0.73352,0.77988,1.12829,0.84893,0.50864,0.59426,0.4236,1.13423,1.15898,1.4516,0.00035275,0.00035275,0.00035275
46,3116.11,0.72102,0.73642,1.11958,0.80673,0.53433,0.60029,0.41229,1.15685,1.15368,1.49514,0.000346563,0.000346563,0.000346563
47,3175.56,0.72025,0.72886,1.11405,0.77585,0.53189,0.57875,0.40336,1.15543,1.20694,1.48081,0.000340375,0.000340375,0.000340375
48,3233.65,0.74373,0.74881,1.12601,0.78578,0.52174,0.59426,0.41772,1.15164,1.1417,1.45218,0.000334188,0.000334188,0.000334188
49,3295.08,0.73652,0.72511,1.12029,0.84,0.49713,0.58749,0.41781,1.12398,1.1762,1.45308,0.000328,0.000328,0.000328
50,3366.48,0.72406,0.71253,1.12082,0.79886,0.5296,0.59589,0.4256,1.13094,1.17147,1.45584,0.000321812,0.000321812,0.000321812
51,3432.9,0.7101,0.70948,1.1027,0.73784,0.55466,0.59165,0.42604,1.11395,1.13176,1.44303,0.000315625,0.000315625,0.000315625
52,3491.04,0.71566,0.70413,1.10792,0.85324,0.52088,0.58922,0.41876,1.15414,1.13614,1.48582,0.000309437,0.000309437,0.000309437
53,3551.37,0.69519,0.70464,1.09802,0.86699,0.49246,0.60121,0.43524,1.14859,1.13013,1.46297,0.00030325,0.00030325,0.00030325
54,3610.46,0.69664,0.69407,1.10138,0.86428,0.51483,0.60933,0.43808,1.12403,1.07913,1.44385,0.000297063,0.000297063,0.000297063
55,3669.62,0.68624,0.68566,1.09438,0.84174,0.53023,0.60619,0.42883,1.1179,1.11096,1.44534,0.000290875,0.000290875,0.000290875
56,3728.18,0.67625,0.65362,1.08516,0.80431,0.56767,0.61233,0.44865,1.10918,1.10639,1.41255,0.000284688,0.000284688,0.000284688
57,3787.56,0.68815,0.66616,1.09491,0.81252,0.50696,0.59118,0.42602,1.13105,1.16613,1.44525,0.0002785,0.0002785,0.0002785
58,3845.79,0.67907,0.64814,1.07717,0.79602,0.55161,0.60598,0.43661,1.11335,1.11743,1.43023,0.000272313,0.000272313,0.000272313
59,3904.46,0.65405,0.63993,1.07792,0.79959,0.52233,0.6025,0.44393,1.09221,1.13148,1.43284,0.000266125,0.000266125,0.000266125
60,3961.96,0.67367,0.65156,1.08217,0.82139,0.54987,0.62305,0.44362,1.15689,1.08353,1.50388,0.000259938,0.000259938,0.000259938
61,4020.6,0.68088,0.63615,1.08321,0.84953,0.52929,0.61428,0.44971,1.10842,1.1488,1.45496,0.00025375,0.00025375,0.00025375
62,4078.5,0.66377,0.63561,1.07551,0.87494,0.51551,0.60425,0.43895,1.10485,1.07149,1.43673,0.000247563,0.000247563,0.000247563
63,4136.44,0.65444,0.62963,1.06839,0.79264,0.54761,0.59461,0.43299,1.10209,1.14371,1.44561,0.000241375,0.000241375,0.000241375
64,4193.79,0.65518,0.63071,1.07296,0.74441,0.55959,0.59068,0.42391,1.13637,1.16442,1.4584,0.000235188,0.000235188,0.000235188
65,4250.56,0.66624,0.60955,1.07529,0.8146,0.55267,0.60983,0.43609,1.11859,1.1256,1.44474,0.000229,0.000229,0.000229
